Reference, Quantity, Value, Footprint, Datasheet, MPN, ConradPN, Label, DigiKeyPN, Voltage, Link, On-Hand,  1N4148WFL-G3-08GICT-ND 
"C201, C202, C203, C204, ", 4,1u, Capacitors_SMD:C_0805_HandSoldering, 
"C501, ", 1,100n, Capacitors_SMD:C_0805_HandSoldering, 
"D201, D202, D501, ", 3,LED, LEDs:LED_0805, 
"D503, ", 1,1N4148W, Diodes_SMD:SOD-123, http://www.vishay.com/docs/85887/1n4148wfl-g.pdf,,"Value",,"Value","Value","Value","Yes","Value"
"IC501, ", 1,ATMEGA88-A, Housings_QFP:LQFP-32_7x7mm_Pitch0.8mm, 
"M301, ", 1,DisplayModule, Pin_Headers:Pin_Header_Straight_1x07, 
"P101, ", 1,Line, Pin_Headers:Pin_Header_Straight_1x02, 
"P501, ", 1,PRG, Pin_Headers:Pin_Header_Straight_2x03, 
"Q401, Q402, Q403, Q404, Q405, Q406, Q408, ", 7,IRLML2502, tfac-footprints:Micro3, 
"Q407, ", 1,NOPOP, tfac-footprints:Micro3, 
"Q501, ", 1,2SD2391, TO_SOT_Packages_SMD:SOT89-3_Housing, http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/bipolar/2sd2391t100q-e.pdf,,"Value",,"Value","Value","Value","Yes",
"R201, ", 1,0, Resistors_SMD:R_0805_HandSoldering, 
"R202, R502, ", 2,480Ω, Resistors_SMD:R_0805_HandSoldering, 
"R203, ", 1,260Ω, Resistors_SMD:R_0805_HandSoldering, 
"R401, R403, R405, R407, R409, R411, R415, R501, ", 8,10K, Resistors_SMD:R_0805_HandSoldering, 
"R402, R404, ", 2,1K5, Resistors_SMD:R_0805_HandSoldering, 
"R406, R408, R410, R412, R416, ", 5,4K7, Resistors_SMD:R_0805_HandSoldering, 
"R413, R414, ", 2,NOPOP, Resistors_SMD:R_0805_HandSoldering, 
"SP501, ", 1,CT-1205-SMT, tfac-footprints:CT-1205-SMT, http://www.cui.com/product/resource/ct-1205-smt.pdf,,"Value",,"102-1199-2-ND","Value","Value","Yes",
"SW501, ", 1,Time Set, tfac-footprints:TL3315, ,"Value","Value","Value",,,,,
"SW502, ", 1,Alarm Set, tfac-footprints:TL3315, 
"SW503, ", 1,Fast, tfac-footprints:TL3315, 
"SW504, ", 1,Slow, tfac-footprints:TL3315, 
"SW505, ", 1,AUTO_TIME, Pin_Headers:Pin_Header_Straight_1x02, 
"SW506, ", 1,Sleep, tfac-footprints:TL3315, 
"SW507, ", 1,Summer Time, Pin_Headers:Pin_Header_Straight_1x02, 
"SW508, ", 1,Alarm Enabled, tfac-footprints:CLSB12C01, 
"SW509, ", 1,Reset, tfac-footprints:PTS525SM15SMTR2LFS, 
"U201, ", 1,MCP1703T-5002E/CB, tfac-footprints:SOT-23A, http://ww1.microchip.com/downloads/en/DeviceDoc/22049e.pdf,"MCP1703T-5002E/CB","651424 - 62",,,,,,
"U202, ", 1,LD2979, tfac-footprints:SOT-23-5L, 
"U401, ", 1,RTC-DCF77, tfac-footprints:RTC-DCF, 
"W201, W202, ", 2,TEST_1P, Measurement_Points:Measurement_Point_Round-SMD-Pad_Small, 